Year,Month,Season,Vehicle_Type,Region,City,Latitude,Longitude,Sales,Price,Advertising_Expenditure,Unemployment_Rate,GDP,Recession,Revenue
2017,3,Spring,SUV,West,Phoenix,33.4484,-112.074,164.26,39.48,47.53,5.57,78.37,0,6485.57
2017,9,Fall,Sedan,West,Los Angeles,34.0522,-118.2437,111.19,17.75,70.15,4.97,69.01,0,1973.13
2017,1,Winter,Sedan,North,Detroit,42.3314,-83.0458,114.59,19.86,46.41,5.88,70.68,0,2276.15
2015,12,Winter,SUV,North,Boston,42.3601,-71.0589,143.65,37.82,49.83,4.97,78.35,0,5433.59
2019,6,Summer,Sedan,East,Charlotte,35.2271,-80.8431,182.02,24.53,61.66,4.55,78.22,0,4465.76
2017,2,Winter,Electric,North,New York,40.7128,-74.006,122.04,42.69,53.46,6.76,74.89,0,5209.82
2020,7,Summer,Truck,South,Miami,25.7617,-80.1918,59.09,42.15,65.81,10.62,70.3,1,2490.33
2021,10,Fall,Hybrid,East,Washington,38.9072,-77.0369,149.65,24.06,71.56,5.87,79.07,0,3600.72
2015,8,Summer,SUV,West,Seattle,47.6062,-122.3321,209.74,30.94,51.23,4.51,69.29,0,6489.93
2020,10,Fall,SUV,South,Houston,29.7604,-95.3698,56.41,25.2,41.88,9.64,57.54,1,1421.25
2019,7,Summer,Sedan,West,San Francisco,37.7749,-122.4194,156.92,33.96,62.43,6.36,81.53,0,5328.66
2017,1,Winter,Hatchback,East,Charlotte,35.2271,-80.8431,87.81,21.33,47.96,4.42,70.8,0,1872.72
2019,1,Winter,Sedan,South,Houston,29.7604,-95.3698,109.8,26.19,69.0,5.95,71.16,0,2875.94
2020,7,Summer,Truck,East,Charlotte,35.2271,-80.8431,65.13,49.91,45.79,8.6,64.1,1,3250.3
2018,5,Spring,Sedan,West,Phoenix,33.4484,-112.074,152.26,15.0,31.28,4.75,71.43,0,2283.89
2019,4,Spring,SUV,South,Dallas,32.7767,-96.797,162.44,27.49,56.07,7.35,76.18,0,4465.89
2018,8,Summer,Hybrid,South,Atlanta,33.749,-84.388,179.09,32.92,77.13,5.75,76.09,0,5896.26
2019,12,Winter,Electric,East,Philadelphia,39.9526,-75.1652,138.63,43.17,63.27,5.21,74.54,0,5984.78
2016,3,Spring,Sedan,North,Chicago,41.8781,-87.6298,131.27,28.57,58.72,5.36,75.86,0,3750.41
2019,9,Fall,Hatchback,East,Philadelphia,39.9526,-75.1652,117.34,22.63,65.66,4.45,74.9,0,2655.44
2019,12,Winter,Hatchback,North,Chicago,41.8781,-87.6298,97.35,18.78,63.96,5.01,76.78,0,1827.85
2017,1,Winter,Electric,West,Phoenix,33.4484,-112.074,135.86,51.41,51.55,5.98,71.77,0,6984.25
2018,3,Spring,Sedan,South,Miami,25.7617,-80.1918,170.6,25.76,54.04,3.56,72.09,0,4394.17
2023,10,Fall,Hybrid,South,Dallas,32.7767,-96.797,125.45,29.7,42.42,6.18,81.22,0,3725.8
2016,5,Spring,SUV,Central,Denver,39.7392,-104.9903,165.67,40.57,56.88,4.68,72.21,0,6721.19
2018,6,Summer,Truck,West,Seattle,47.6062,-122.3321,158.21,44.96,38.12,4.12,78.93,0,7112.72
2017,2,Winter,Sedan,West,San Francisco,37.7749,-122.4194,95.71,29.77,51.33,5.49,75.31,0,2849.11
2022,1,Winter,Van,Central,Kansas City,39.0997,-94.5786,328.75005769376753,27.95,45.99,5.39,80.64,0,3005.62
2019,11,Fall,SUV,West,Los Angeles,34.0522,-118.2437,140.93,32.52,41.66,4.53,76.65,0,4583.25
2021,9,Fall,Electric,East,Charlotte,35.2271,-80.8431,160.13,55.3,45.38,4.4,78.57,0,8854.97
2018,10,Fall,Truck,South,Dallas,32.7767,-96.797,148.31,28.52,64.56,5.57,75.59,0,4230.37
2016,10,Fall,Sedan,South,Miami,25.7617,-80.1918,109.38,30.54,54.43,4.72,71.28,0,3340.27
2023,6,Summer,Truck,East,Baltimore,39.2904,-76.6122,167.03,41.31,53.38,6.64,80.55,0,6900.48
2019,5,Spring,SUV,South,Houston,29.7604,-95.3698,49.46496899623867,39.24,37.27,4.35,73.78,0,5844.1
2018,1,Winter,Coupe,North,Detroit,42.3314,-83.0458,95.39,26.27,80.71,5.24,73.59,0,2506.27
2015,6,Summer,Sedan,West,Los Angeles,34.0522,-118.2437,119.02,30.82,10.87,6.34,71.24,0,3668.02
2019,5,Spring,SUV,South,Miami,25.7617,-80.1918,153.24,40.56,19.41,3.82,70.72,0,6214.89
2020,1,Winter,Coupe,West,San Francisco,37.7749,-122.4194,90.73,33.23,55.76,4.94,72.39,0,3014.73
2019,2,Winter,Coupe,Central,Kansas City,39.0997,-94.5786,107.97,29.45,57.32,3.9,75.77,0,3179.41
2017,11,Fall,Sedan,Central,St. Louis,38.627,-90.1994,112.18,23.91,48.39,4.21,71.41,0,2682.16
2016,1,Winter,SUV,South,Atlanta,33.749,-84.388,123.09,34.78,79.6,5.12,68.8,0,4281.12
2015,10,Fall,Sedan,West,Los Angeles,34.0522,-118.2437,121.77,21.03,62.0,5.04,70.53,0,2560.32
2021,8,Summer,Sedan,South,Atlanta,33.749,-84.388,154.33,28.25,63.53,4.64,80.41,0,4359.96
2021,5,Spring,Truck,West,San Francisco,37.7749,-122.4194,45.73,38.64,44.75,9.31,61.2,1,1767.01
2017,9,Fall,Sedan,Central,Kansas City,39.0997,-94.5786,130.37,33.9,73.73,4.56,76.04,0,4420.11
2020,4,Spring,Truck,South,Dallas,32.7767,-96.797,52.33,35.99,40.24,9.84,60.51,1,1883.29
2022,7,Summer,Sedan,North,Chicago,41.8781,-87.6298,157.55,27.99,48.88,6.8,80.94,0,4410.01
2022,10,Fall,Hatchback,East,Philadelphia,39.9526,-75.1652,88.15,22.5,54.2,4.0,78.81,0,1983.06
2015,12,Winter,Hatchback,North,New York,40.7128,-74.006,74.62,20.04,57.15,4.8,67.37,0,1495.38
2022,10,Fall,Truck,Central,Minneapolis,44.9778,-93.265,47.80740829693866,47.45,85.85,3.99,82.38,0,7466.61
2017,1,Winter,Hatchback,Central,Kansas City,39.0997,-94.5786,97.05,22.05,47.16,5.67,72.57,0,2140.11
2019,12,Winter,Sedan,East,Philadelphia,39.9526,-75.1652,133.08,26.86,45.89,3.71,77.96,0,3575.29
2023,2,Winter,SUV,East,Philadelphia,39.9526,-75.1652,165.81,35.1,46.71,5.33,87.03,0,5819.41
2022,8,Summer,Sedan,East,Baltimore,39.2904,-76.6122,150.33,16.71,36.88,5.57,81.0,0,2511.72
2015,4,Spring,Electric,East,Charlotte,35.2271,-80.8431,190.2,50.59,55.82,4.5,73.03,0,9622.07
2019,11,Fall,Sedan,South,Atlanta,33.749,-84.388,107.34,21.59,83.86,5.68,69.27,0,2317.6
2022,5,Spring,SUV,Central,Minneapolis,44.9778,-93.265,166.87,41.98,73.51,5.72,86.5,0,7005.87
2021,10,Fall,Hybrid,East,Charlotte,35.2271,-80.8431,164.27,25.14,36.87,4.06,81.6,0,4130.32
2018,5,Spring,Coupe,Central,St. Louis,38.627,-90.1994,126.77,27.29,42.57,4.37,78.41,0,3459.18
2015,6,Summer,Coupe,East,Charlotte,35.2271,-80.8431,120.81,28.25,59.24,4.31,74.19,0,3412.75
2023,3,Spring,Hybrid,West,Los Angeles,34.0522,-118.2437,69.18327410578476,27.72,49.42,5.84,84.42,0,4521.11
2017,6,Summer,Sedan,North,Chicago,41.8781,-87.6298,126.32,25.31,39.91,5.91,70.85,0,3197.22
2015,7,Summer,Truck,North,Detroit,42.3314,-83.0458,149.23,46.64,52.23,3.66,70.53,0,6960.85
2021,3,Spring,Hybrid,East,Charlotte,35.2271,-80.8431,66.59,23.3,49.51,8.18,66.13,1,1551.87
2022,3,Spring,Hatchback,South,Atlanta,33.749,-84.388,110.02,24.17,31.39,3.0,72.52,0,2658.6
2015,8,Summer,Electric,Central,Minneapolis,44.9778,-93.265,98.18023396264415,46.37,33.34,4.22,65.78,0,9385.52
2021,7,Summer,Hatchback,West,Phoenix,33.4484,-112.074,142.55,19.73,39.08,4.3,79.09,0,2812.84
2017,3,Spring,SUV,North,Detroit,42.3314,-83.0458,171.4,34.32,60.66,4.63,72.28,0,5881.77
2018,4,Spring,SUV,Central,Kansas City,39.0997,-94.5786,169.07,38.11,31.23,5.33,73.57,0,6444.0
2019,4,Spring,Van,East,Washington,38.9072,-77.0369,138.87,31.11,42.87,4.9,75.01,0,4320.49
2023,2,Winter,SUV,Central,St. Louis,38.627,-90.1994,142.29,35.87,55.0,4.98,79.07,0,5104.44
2015,9,Fall,SUV,South,Atlanta,33.749,-84.388,145.42,27.95,34.33,3.8,71.85,0,4064.71
2016,7,Summer,Van,Central,Minneapolis,44.9778,-93.265,136.54,38.46,49.95,4.24,71.88,0,5251.87
2021,5,Spring,Sedan,South,Houston,29.7604,-95.3698,60.34,15.33,34.94,11.36,77.1,1,925.17
2015,10,Fall,Hatchback,Central,St. Louis,38.627,-90.1994,104.59,15.0,46.66,5.15,67.03,0,1568.81
2021,8,Summer,Truck,East,Washington,38.9072,-77.0369,185.29,39.25,37.12,5.18,80.48,0,7273.05
2018,4,Spring,Van,East,Baltimore,39.2904,-76.6122,117.85,33.8,44.74,3.0,71.35,0,3983.11
2022,10,Fall,Sedan,North,Chicago,41.8781,-87.6298,155.01,18.32,59.96,4.34,79.58,0,2840.17
2015,12,Winter,Coupe,East,Charlotte,35.2271,-80.8431,92.8,33.62,50.17,5.04,72.79,0,3120.15
2023,10,Fall,Hybrid,South,Dallas,32.7767,-96.797,182.7,31.08,33.78,3.72,82.81,0,5679.32
2022,2,Winter,Hatchback,East,Baltimore,39.2904,-76.6122,99.23,24.07,69.46,6.35,72.36,0,2388.45
2016,3,Spring,SUV,Central,Minneapolis,44.9778,-93.265,125.56,24.44,56.19,5.13,70.72,0,3068.38
2020,9,Fall,Truck,Central,Kansas City,39.0997,-94.5786,58.96,46.06,14.43,7.36,66.52,1,2715.61
2017,11,Fall,Hatchback,West,Los Angeles,34.0522,-118.2437,120.57,16.44,63.8,3.0,71.47,0,1982.37
2023,10,Fall,SUV,North,Chicago,41.8781,-87.6298,151.2,30.42,37.93,4.7,84.38,0,4599.2
2019,9,Fall,Electric,North,Boston,42.3601,-71.0589,167.13,37.91,33.94,3.79,70.2,0,6335.4
2019,5,Spring,SUV,East,Charlotte,35.2271,-80.8431,133.39,47.13,74.32,6.17,74.01,0,6286.31
2016,9,Fall,Sedan,South,Atlanta,33.749,-84.388,107.35,25.28,71.31,6.19,69.59,0,2713.63
2015,8,Summer,Truck,East,Charlotte,35.2271,-80.8431,426.9080640901706,48.27,66.89,4.87,72.05,0,6740.82
2023,3,Spring,Hybrid,North,New York,40.7128,-74.006,165.77,24.99,37.24,6.08,83.63,0,4143.06
2022,12,Winter,Sedan,East,Philadelphia,39.9526,-75.1652,126.83,27.07,65.46,5.04,80.62,0,3432.84
2022,2,Winter,SUV,East,Philadelphia,39.9526,-75.1652,152.69,39.53,63.99,5.31,81.22,0,6035.79
2023,11,Fall,Electric,Central,Denver,39.7392,-104.9903,169.29,47.15,47.62,5.19,80.11,0,7981.09
2021,10,Fall,SUV,South,Dallas,32.7767,-96.797,157.15,37.92,56.27,5.49,76.93,0,5958.96
2021,2,Winter,SUV,Central,Kansas City,39.0997,-94.5786,68.98,29.8,52.85,8.67,69.77,1,2055.45
2019,6,Summer,Coupe,West,Phoenix,33.4484,-112.074,128.9,28.94,44.56,4.6,75.44,0,3729.86
2020,1,Winter,Sedan,South,Dallas,32.7767,-96.797,119.38,26.38,19.47,4.87,75.92,0,3148.85
2016,2,Winter,SUV,Central,St. Louis,38.627,-90.1994,136.89,40.67,59.73,4.82,67.81,0,5567.51
2018,2,Winter,Sedan,West,San Francisco,37.7749,-122.4194,94.24,18.07,36.06,6.16,72.8,0,1703.34
2015,9,Fall,Hybrid,West,San Francisco,37.7749,-122.4194,135.08,30.69,54.05,4.97,71.52,0,4145.44
2019,8,Summer,Truck,East,Washington,38.9072,-77.0369,163.3,43.08,72.52,6.64,75.23,0,7035.25
2023,12,Winter,Truck,Central,Denver,39.7392,-104.9903,121.23,30.52,48.22,4.96,82.89,0,3700.13
2016,6,Summer,Hatchback,East,Philadelphia,39.9526,-75.1652,112.43,22.82,50.71,4.68,74.04,0,2565.64
2015,10,Fall,Sedan,South,Dallas,32.7767,-96.797,106.1,24.66,29.22,5.09,73.07,0,2616.71
2020,7,Summer,Coupe,South,Houston,29.7604,-95.3698,39.73,31.58,70.75,11.55,68.16,1,1254.86
2022,8,Summer,Van,South,Dallas,32.7767,-96.797,165.86,36.13,69.76,4.46,83.65,0,5992.94
2017,9,Fall,SUV,West,San Francisco,37.7749,-122.4194,138.94,38.41,82.45,4.7,77.7,0,5337.12
2018,8,Summer,SUV,Central,Minneapolis,44.9778,-93.265,196.5,40.54,37.35,3.0,76.02,0,7965.33
2017,3,Spring,SUV,Central,Denver,39.7392,-104.9903,168.24,37.53,45.88,6.13,71.74,0,6314.38
2018,12,Winter,Truck,South,Atlanta,33.749,-84.388,105.74,44.54,73.53,5.08,73.27,0,4709.97
2016,4,Spring,Truck,South,Miami,25.7617,-80.1918,167.32,48.86,55.94,4.37,75.64,0,8174.95
2021,10,Fall,Electric,West,San Francisco,37.7749,-122.4194,167.57,46.76,25.24,4.71,79.97,0,7835.45
2022,7,Summer,Truck,North,Detroit,42.3314,-83.0458,177.35,37.83,67.41,3.71,77.14,0,6708.19
2021,11,Fall,SUV,South,Miami,25.7617,-80.1918,173.13,36.82,36.7,3.05,77.23,0,6374.43
2019,4,Spring,Hatchback,East,Charlotte,35.2271,-80.8431,132.4,18.95,81.15,4.68,74.95,0,2509.57
2020,12,Winter,Sedan,East,Philadelphia,39.9526,-75.1652,105.45286500248092,26.61,52.86,9.94,61.31,1,1024.37
2018,5,Spring,Coupe,South,Dallas,32.7767,-96.797,114.95,30.3,24.89,5.15,75.7,0,3483.64
2021,4,Spring,Hatchback,South,Houston,29.7604,-95.3698,55.45,15.0,39.19,8.36,67.03,1,831.75
2020,5,Spring,Van,South,Atlanta,33.749,-84.388,166.47780800480984,32.72,49.14,12.61,69.32,1,1451.84
2022,9,Fall,Coupe,West,Los Angeles,34.0522,-118.2437,97.67,34.73,35.15,6.82,83.02,0,3391.88
2020,9,Fall,Electric,North,Boston,42.3601,-71.0589,83.3,42.74,45.1,8.09,68.53,1,3560.35
2018,6,Summer,Hybrid,East,Washington,38.9072,-77.0369,176.97,30.92,45.21,5.75,73.41,0,5471.23
2020,7,Summer,SUV,North,Boston,42.3601,-71.0589,64.39,28.29,73.29,7.67,59.28,1,1821.63
2015,3,Spring,Sedan,West,San Francisco,37.7749,-122.4194,159.64,23.86,39.68,6.01,74.93,0,3809.36
2017,5,Spring,Truck,South,Dallas,32.7767,-96.797,390.228773351766,37.27,27.01,3.84,72.94,0,6458.79
2018,11,Fall,Electric,South,Dallas,32.7767,-96.797,163.39,32.69,47.17,5.39,73.74,0,5340.66
2016,4,Spring,Coupe,Central,St. Louis,38.627,-90.1994,108.86,30.26,52.45,4.17,73.81,0,3294.12
2018,10,Fall,Sedan,North,New York,40.7128,-74.006,124.87,30.85,77.7,5.55,71.59,0,3851.58
2022,1,Winter,SUV,South,Atlanta,33.749,-84.388,152.01,34.9,70.46,5.22,82.16,0,5304.83
2021,6,Summer,Truck,Central,Kansas City,39.0997,-94.5786,60.07,37.42,43.06,10.74,71.9,1,2248.03
2022,8,Summer,SUV,North,New York,40.7128,-74.006,196.53,40.62,63.38,5.44,77.76,0,7982.44
2015,7,Summer,Sedan,South,Atlanta,33.749,-84.388,140.34,27.55,47.22,5.41,71.9,0,3866.87
2019,3,Spring,Truck,West,Seattle,47.6062,-122.3321,141.88,36.66,88.7,4.91,71.89,0,5200.62
2020,7,Summer,Sedan,North,Boston,42.3601,-71.0589,79.13,31.15,25.26,8.22,72.71,1,2464.65
2021,4,Spring,Truck,Central,Denver,39.7392,-104.9903,59.14,29.88,26.73,10.74,62.73,1,1767.04
2019,12,Winter,Truck,East,Charlotte,35.2271,-80.8431,121.66,38.71,20.09,5.83,76.99,0,4709.34
2017,6,Summer,SUV,South,Miami,25.7617,-80.1918,179.96,24.76,52.42,4.18,71.11,0,4455.21
2023,7,Summer,SUV,South,Houston,29.7604,-95.3698,195.55,36.98,38.7,4.5,74.99,0,7232.29
2019,4,Spring,Hatchback,South,Dallas,32.7767,-96.797,109.91,20.4,64.35,5.71,75.54,0,2242.16
2019,2,Winter,Truck,East,Philadelphia,39.9526,-75.1652,121.96,32.01,82.34,3.4,73.46,0,3904.3
2021,6,Summer,Truck,East,Washington,38.9072,-77.0369,67.81,40.49,45.65,10.38,68.51,1,2745.87
2021,4,Spring,SUV,North,Chicago,41.8781,-87.6298,81.9,36.69,50.42,7.65,71.68,1,3004.82
2023,2,Winter,Hybrid,North,Boston,42.3601,-71.0589,137.49,27.89,58.37,6.39,84.45,0,3835.36
2023,6,Summer,SUV,North,Boston,42.3601,-71.0589,179.61,28.11,22.96,5.05,83.52,0,5049.47
2018,2,Winter,Hybrid,Central,St. Louis,38.627,-90.1994,115.24,21.04,19.77,6.14,78.27,0,2425.02
2016,8,Summer,SUV,North,Chicago,41.8781,-87.6298,170.9,31.84,44.18,4.7,69.66,0,5441.62
2018,4,Spring,Coupe,North,Boston,42.3601,-71.0589,103.11,34.27,64.01,3.0,70.05,0,3533.85
2021,11,Fall,Van,West,San Francisco,37.7749,-122.4194,118.42,30.92,49.55,5.76,81.64,0,3661.54
2019,6,Summer,Coupe,Central,Kansas City,39.0997,-94.5786,99.78,32.06,42.59,5.94,72.42,0,3198.77
2019,4,Spring,SUV,North,Chicago,41.8781,-87.6298,64.38908399041433,37.69,39.7,7.22,75.97,0,5258.01
2018,2,Winter,Hatchback,West,Phoenix,33.4484,-112.074,98.21,15.0,15.85,4.13,73.17,0,1473.21
2023,1,Winter,Coupe,North,Boston,42.3601,-71.0589,106.82,30.93,48.67,4.59,77.2,0,3304.08
2021,2,Winter,Coupe,East,Washington,38.9072,-77.0369,46.83,27.12,50.94,7.21,69.84,1,1269.96
2019,8,Summer,Sedan,Central,St. Louis,38.627,-90.1994,131.99,31.46,29.79,5.18,74.9,0,4152.22
2018,3,Spring,SUV,East,Charlotte,35.2271,-80.8431,169.23,41.53,47.83,4.2,67.89,0,7028.42
2022,8,Summer,SUV,North,Boston,42.3601,-71.0589,209.32,35.18,69.92,4.75,79.53,0,7364.43
2023,9,Fall,Sedan,South,Miami,25.7617,-80.1918,131.61,30.46,58.9,5.75,87.4,0,4008.79
2015,8,Summer,Sedan,South,Miami,25.7617,-80.1918,152.24,26.35,33.28,3.0,72.58,0,4010.99
2018,4,Spring,Sedan,Central,St. Louis,38.627,-90.1994,132.9,26.15,41.25,5.86,76.95,0,3475.81
2019,8,Summer,Sedan,West,Phoenix,33.4484,-112.074,154.17,26.06,48.58,5.03,76.98,0,4017.55
2018,11,Fall,Truck,South,Miami,25.7617,-80.1918,129.05,37.45,42.56,6.48,71.68,0,4833.68
2020,3,Spring,Hybrid,Central,Kansas City,39.0997,-94.5786,61.45,34.03,47.92,10.01,73.95,1,2090.89
2022,1,Winter,Hybrid,West,Los Angeles,34.0522,-118.2437,150.78,24.41,62.25,5.34,78.64,0,3680.14
2021,11,Fall,SUV,East,Washington,38.9072,-77.0369,127.45,30.49,28.25,6.45,79.83,0,3886.6
2017,7,Summer,Sedan,East,Philadelphia,39.9526,-75.1652,152.97,30.86,60.08,4.32,69.25,0,4721.3
2020,8,Summer,Coupe,Central,Kansas City,39.0997,-94.5786,56.59,26.06,52.72,8.14,73.33,1,1474.86
2018,3,Spring,SUV,Central,St. Louis,38.627,-90.1994,138.3,33.72,44.92,7.51,74.83,0,4663.3
2017,1,Winter,Coupe,East,Washington,38.9072,-77.0369,93.92,30.3,15.44,4.51,74.66,0,2845.4
2021,1,Winter,SUV,North,New York,40.7128,-74.006,67.33,39.06,41.9,7.68,73.41,1,2629.76
2020,12,Winter,Truck,East,Baltimore,39.2904,-76.6122,40.39,53.63,28.84,9.52,61.23,1,2165.82
2015,6,Summer,Truck,Central,Kansas City,39.0997,-94.5786,159.97,41.94,26.08,4.53,69.56,0,6708.81
2019,4,Spring,Sedan,South,Dallas,32.7767,-96.797,158.42,23.0,49.19,4.0,75.18,0,3644.06
2019,8,Summer,SUV,West,San Francisco,37.7749,-122.4194,195.89,30.39,55.51,4.77,73.52,0,5953.33
2023,6,Summer,Truck,West,Los Angeles,34.0522,-118.2437,155.87,35.18,61.05,5.88,74.73,0,5483.77
2016,8,Summer,Sedan,East,Charlotte,35.2271,-80.8431,147.06,24.03,58.33,5.49,74.28,0,3534.05
2019,2,Winter,Hatchback,Central,Minneapolis,44.9778,-93.265,102.09,27.07,54.61,3.94,74.33,0,2763.22
2023,9,Fall,Hatchback,North,New York,40.7128,-74.006,133.0,17.53,78.72,5.47,81.51,0,2331.5
2021,6,Summer,Coupe,North,Boston,42.3601,-71.0589,56.83,19.72,33.57,8.35,71.76,1,1120.75
2020,9,Fall,Truck,South,Houston,29.7604,-95.3698,67.13,50.62,51.11,7.93,62.33,1,3397.95
2017,3,Spring,SUV,North,Detroit,42.3314,-83.0458,167.66,35.3,61.93,6.07,73.39,0,5918.24
2022,8,Summer,Hybrid,Central,Minneapolis,44.9778,-93.265,184.71,26.49,49.52,5.32,82.03,0,4892.32
2022,12,Winter,Truck,North,New York,40.7128,-74.006,154.77,35.58,43.6,4.25,81.4,0,5507.45
2017,5,Spring,SUV,East,Baltimore,39.2904,-76.6122,182.65,25.39,70.53,5.36,73.6,0,4637.13
2022,2,Winter,Coupe,South,Dallas,32.7767,-96.797,88.34,32.42,44.98,6.03,78.57,0,2863.45
2022,5,Spring,Sedan,West,Phoenix,33.4484,-112.074,146.53,32.73,71.18,5.02,77.3,0,4796.43
2021,5,Spring,Coupe,Central,Kansas City,39.0997,-94.5786,45.89,32.04,50.49,8.62,63.05,1,1470.14
2015,4,Spring,Hybrid,North,Detroit,42.3314,-83.0458,144.62,28.82,45.57,5.34,68.94,0,4167.51
2017,12,Winter,Truck,West,Los Angeles,34.0522,-118.2437,87.06,47.91,48.63,6.31,72.5,0,4170.46
2017,12,Winter,Sedan,West,San Francisco,37.7749,-122.4194,109.49,28.15,44.5,4.76,74.64,0,3082.39
2016,10,Fall,SUV,East,Philadelphia,39.9526,-75.1652,155.37,30.16,56.44,5.51,76.25,0,4685.55
2017,1,Winter,Coupe,West,Los Angeles,34.0522,-118.2437,206.26479957938804,35.38,57.86,4.6,69.64,0,2999.33
2017,4,Spring,SUV,South,Atlanta,33.749,-84.388,178.8,39.08,42.45,4.81,71.22,0,6987.84
2018,4,Spring,Hatchback,West,Los Angeles,34.0522,-118.2437,129.91,21.9,46.38,5.41,77.83,0,2845.6
2016,8,Summer,Truck,West,Los Angeles,34.0522,-118.2437,144.62,51.4,47.19,4.94,72.26,0,7433.5
2023,8,Summer,SUV,South,Houston,29.7604,-95.3698,219.07,32.72,54.75,5.2,84.25,0,7166.91
2017,4,Spring,Sedan,Central,Denver,39.7392,-104.9903,113.7,23.02,61.18,5.53,67.9,0,2617.97
2023,4,Spring,Hybrid,East,Charlotte,35.2271,-80.8431,172.21,26.5,83.79,5.56,84.38,0,4563.68
2017,11,Fall,Truck,South,Atlanta,33.749,-84.388,137.01,44.77,64.63,5.24,70.22,0,6133.86
2022,1,Winter,SUV,Central,Minneapolis,44.9778,-93.265,133.25,31.57,70.6,5.51,75.01,0,4206.1
2022,5,Spring,Truck,East,Washington,38.9072,-77.0369,148.27,45.72,35.52,5.78,77.46,0,6778.35
2020,12,Winter,Coupe,Central,Minneapolis,44.9778,-93.265,40.57,30.55,75.43,9.07,70.26,1,1239.5
2023,2,Winter,Truck,North,Boston,42.3601,-71.0589,131.23,41.17,56.78,3.0,81.34,0,5402.25
2018,8,Summer,Truck,North,Boston,42.3601,-71.0589,32.49174488994133,41.79,23.09,4.69,75.37,0,5819.42
2020,9,Fall,Sedan,North,Detroit,42.3314,-83.0458,39.16,23.81,51.55,9.4,63.07,1,932.42
2023,7,Summer,Hatchback,Central,St. Louis,38.627,-90.1994,146.75,17.87,26.24,3.2,77.46,0,2623.14
2015,10,Fall,Hatchback,West,San Francisco,37.7749,-122.4194,92.0,21.53,62.28,5.54,72.43,0,1980.46
2015,4,Spring,Sedan,South,Atlanta,33.749,-84.388,138.81,30.71,47.48,5.51,68.53,0,4262.05
2016,3,Spring,Sedan,East,Philadelphia,39.9526,-75.1652,141.87,29.34,64.3,5.23,73.62,0,4162.41
2018,6,Summer,Hybrid,East,Philadelphia,39.9526,-75.1652,225.87,28.25,40.32,3.3,72.27,0,6379.61
2019,5,Spring,SUV,North,Chicago,41.8781,-87.6298,176.81,32.45,57.06,6.29,78.57,0,5737.49
2016,4,Spring,SUV,East,Philadelphia,39.9526,-75.1652,145.31,40.25,46.25,6.39,69.49,0,5849.2
2023,7,Summer,Sedan,East,Charlotte,35.2271,-80.8431,127.19,25.98,58.65,4.93,81.18,0,3304.04
2016,8,Summer,Coupe,West,Los Angeles,34.0522,-118.2437,139.57,29.3,55.02,3.0,72.79,0,4090.07
2015,6,Summer,SUV,Central,St. Louis,38.627,-90.1994,164.06,41.96,49.31,4.54,75.67,0,6884.32
